Dataset,Sample index,True class,Predicted class,True class name,Predicted class name,Correct,Method,Top features,Jaccard@10,Spearman,Cosine
Fused pseudo sensitivity,16,10,10,Socks5Systemz,Socks5Systemz,True,LIME,disk__parent_sections=0.0316398; disk__parent_is_i386=0.0187901; memory__n_created_dll=0.0128197; disk__size_delta=0.0120708; network__domains_per_conn=0.0116257; memory__total_processes=0.011439; network__n_public_ips=0.00898486; network__avg_domain_len=0.00832433; network__mean_domain_entropy=0.00701568; disk__parent_is_dotnet=0.00646271,0.5582417582417583,0.5321833716878067,0.42354651572378665
Fused pseudo sensitivity,16,10,10,Socks5Systemz,Socks5Systemz,True,SHAP,disk__parent_sections=0.234554; disk__parent_size=0.088608; disk__parent_is_i386=0.0597679; memory__total_processes=0.0534883; disk__size_delta=0.0503615; disk__parent_is_dotnet=0.046733; memory__n_created_dll=0.0430827; disk__path_len=0.042253; memory__n_created_tmp=0.0267954; network__n_public_service_domains=0.0112068,0.8045454545454545,0.9276623376623375,0.9740812150788866
Fused pseudo sensitivity,16,10,10,Socks5Systemz,Socks5Systemz,True,SRC,memory__modules_count=0.152321; network__domains_per_conn=0.139622; network__mean_domain_entropy=0.112605; memory__n_created_dll=0.0666158; disk__parent_is_i386=0.065588; memory__n_created_tmp=0.0647198; disk__parent_sections=0.0628319; network__avg_domain_len=0.0374506; disk__parent_size=0.0365425; disk__path_len=0.0271409,0.4883449883449883,0.391038961038961,0.7241335009745352
Fused pseudo sensitivity,9,11,11,Stealc,Stealc,True,LIME,disk__parent_sections=0.043379; memory__total_processes=0.0340288; memory__n_created_tmp=0.0227414; disk__parent_size=0.0165382; disk__parent_is_dotnet=0.0142419; network__n_unique_ips=0.0125844; network__mean_domain_entropy=0.0120248; network__avg_domain_len=0.0103298; network__n_unique_tlds=0.0101544; disk__parent_is_i386=0.00783418,0.6083749583749583,0.5544155844155844,0.7996342081146283
Fused pseudo sensitivity,9,11,11,Stealc,Stealc,True,SHAP,disk__parent_sections=0.0981875; disk__parent_size=0.090258; disk__parent_is_gui=0.0771527; disk__parent_is_i386=0.0619405; memory__n_created_tmp=0.0553088; disk__parent_is_dotnet=0.0451083; memory__total_processes=0.0445656; memory__n_created_dll=0.0314044; disk__path_len=0.0305697; network__mean_domain_entropy=0.0267152,0.8208624708624708,0.9359090909090909,0.9716671216048101
Fused pseudo sensitivity,9,11,11,Stealc,Stealc,True,SRC,memory__n_created_dll=0.156205; memory__n_registry_hklm=0.111306; disk__size_delta=0.0797584; disk__parent_size=0.0779985; disk__parent_is_i386=0.0630499; memory__modules_count=0.0511577; memory__total_processes=0.0370279; disk__parent_is_gui=0.0317299; disk__parent_is_dotnet=0.024948; network__n_public_service_domains=0.0238398,0.44713619713619723,0.37792207792207794,0.8025103406322515
Fused pseudo sensitivity,57,12,12,a310logger,a310logger,True,LIME,memory__total_processes=0.0423118; disk__path_len=0.0361408; disk__parent_size=0.0290525; disk__parent_is_i386=0.028911; memory__n_created_dll=0.0152085; disk__size_delta=0.014091; network__domains_per_conn=0.012037; network__n_public_ips=0.0119613; disk__parent_sections=0.0114281; memory__n_registry_hklm=0.00948896,0.5787545787545787,0.5210129163513187,0.5322037579935922
Fused pseudo sensitivity,57,12,12,a310logger,a310logger,True,SHAP,disk__parent_size=0.203062; disk__path_len=0.117774; disk__size_delta=0.112423; disk__parent_is_i386=0.0636216; memory__total_processes=0.0605349; memory__n_registry_hklm=0.0533644; disk__parent_is_dotnet=0.0435574; disk__parent_sections=0.0354605; memory__n_created_dll=0.0347408; network__domains_per_conn=0.0340433,0.8166666666666667,0.8957142857142856,0.9468629192659808
Fused pseudo sensitivity,57,12,12,a310logger,a310logger,True,SRC,memory__total_processes=0.319147; memory__path_entropy=0.197413; network__domains_per_conn=0.143647; network__mean_domain_entropy=0.136815; memory__path_len=0.119875; network__n_unique_tlds=0.118207; memory__n_registry_hklm=0.0875772; disk__parent_is_dotnet=0.0802363; disk__parent_sections=0.0684183; memory__modules_count=0.0635175,0.5547785547785548,0.673051948051948,0.9147188019440871
Fused pseudo sensitivity,31,13,13,agenttesla,agenttesla,True,LIME,memory__total_processes=0.0506177; disk__parent_is_dotnet=0.0330355; disk__size_delta=0.0246162; memory__n_created_dll=0.0242989; network__domains_per_conn=0.0121965; network__avg_domain_len=0.0121404; network__n_unique_tlds=0.011601; memory__path_len=0.00941671; disk__path_len=0.0093436; disk__parent_size=0.00913825,0.49585414585414583,0.4476623376623377,0.4683244439547399
Fused pseudo sensitivity,31,13,13,agenttesla,agenttesla,True,SHAP,memory__total_processes=0.184167; memory__n_created_dll=0.133539; disk__parent_is_dotnet=0.072051; disk__size_delta=0.0515374; network__domains_per_conn=0.0498156; disk__parent_size=0.0481328; disk__path_len=0.0380618; network__avg_domain_len=0.0344867; disk__parent_is_i386=0.0342459; disk__parent_sections=0.0341315,0.7754079254079254,0.8490259740259738,0.9736262538569511
Fused pseudo sensitivity,31,13,13,agenttesla,agenttesla,True,SRC,disk__parent_size=0.159681; memory__n_created_dll=0.0984565; network__avg_domain_len=0.0844754; network__domains_per_conn=0.0623264; network__n_unique_tlds=0.0541375; memory__n_registry_hklm=0.0472215; memory__total_processes=0.0451241; memory__path_entropy=0.0447296; network__n_public_service_domains=0.0278913; network__n_unique_ips=0.0265471,0.5014152514152513,0.5201948051948052,0.9151077058724504
Fused pseudo sensitivity,75,14,14,lockbit,lockbit,True,LIME,memory__total_processes=0.077958; disk__parent_size=0.0610641; disk__path_len=0.038112; memory__n_created_dll=0.0255496; disk__parent_sections=0.0219723; disk__size_delta=0.014958; disk__parent_is_i386=0.0103309; network__n_public_ips=0.00855558; network__n_unique_ips=0.00644833; memory__n_created_tmp=0.00633575,0.6238761238761239,0.6356573449291166,0.5749987096718696
Fused pseudo sensitivity,75,14,14,lockbit,lockbit,True,SHAP,memory__total_processes=0.16391; disk__parent_size=0.133085; disk__path_len=0.119397; memory__n_created_dll=0.0994488; disk__parent_is_i386=0.0639698; disk__size_delta=0.0513403; disk__parent_sections=0.0469012; disk__parent_is_dotnet=0.0252819; network__n_unique_tlds=0.016768; network__domains_per_conn=0.0142509,0.9363636363636363,0.9409090909090908,0.9605692638005274
Fused pseudo sensitivity,75,14,14,lockbit,lockbit,True,SRC,network__n_public_service_domains=0.432865; network__avg_domain_len=0.374549; network__domains_per_conn=0.204733; network__n_unique_tlds=0.134511; disk__parent_sections=0.123164; memory__n_registry_hklm=0.0750107; network__mean_domain_entropy=0.0697143; memory__modules_count=0.0473749; disk__parent_is_i386=0.0446669; memory__n_created_tmp=0.0424197,0.7439393939393939,0.8177272727272727,0.9858865887301599
Fused pseudo sensitivity,62,15,15,lumma,lumma,True,LIME,memory__total_processes=0.0756595; disk__size_delta=0.0711713; disk__parent_size=0.0707625; memory__n_created_dll=0.027603; disk__parent_sections=0.025537; disk__parent_is_dotnet=0.0201654; network__n_public_ips=0.0147048; memory__modules_count=0.0120686; network__n_public_service_domains=0.0109334; disk__path_len=0.0096594,0.5796703296703296,0.5946753246753247,0.5820268830314956
Fused pseudo sensitivity,62,15,15,lumma,lumma,True,SHAP,disk__size_delta=0.211579; memory__total_processes=0.193846; disk__parent_size=0.172789; memory__n_created_dll=0.120629; disk__parent_sections=0.0839392; disk__path_len=0.0508434; disk__parent_is_i386=0.0232116; disk__parent_is_dotnet=0.0185097; network__n_public_ips=0.0099389; network__domains_per_conn=0.00954442,0.7296037296037297,0.9494155844155845,0.9991207641590416
Fused pseudo sensitivity,62,15,15,lumma,lumma,True,SRC,disk__size_delta=0.187949; memory__modules_count=0.113783; network__avg_domain_len=0.111731; network__mean_domain_entropy=0.0736685; network__n_unique_tlds=0.0729658; disk__path_len=0.0715462; disk__parent_size=0.0643574; memory__path_entropy=0.0609903; network__domains_per_conn=0.0293752; disk__parent_sections=0.0287213,0.6897269397269398,0.6773376623376623,0.8810332224881803
Fused pseudo sensitivity,19,16,16,redline,redline,True,LIME,memory__total_processes=0.265531; memory__n_created_dll=0.0529219; network__n_unique_ips=0.0379098; disk__parent_is_i386=0.0370058; network__n_public_ips=0.0318926; disk__parent_sections=0.0220823; memory__modules_count=0.0209529; network__domains_per_conn=0.0185461; memory__path_entropy=0.017472; network__n_public_service_domains=0.0168006,0.5421245421245422,0.4861038961038961,0.6615216090514149
Fused pseudo sensitivity,19,16,16,redline,redline,True,SHAP,memory__total_processes=0.164844; memory__n_created_dll=0.107257; disk__size_delta=0.0893638; disk__parent_size=0.0755953; memory__modules_count=0.0322656; disk__parent_is_i386=0.0280237; memory__path_entropy=0.0240141; network__mean_domain_entropy=0.0187466; disk__path_len=0.0168723; disk__parent_is_dotnet=0.015683,0.7451048951048951,0.8892207792207794,0.9953200981242081
Fused pseudo sensitivity,19,16,16,redline,redline,True,SRC,network__avg_domain_len=0.331278; memory__modules_count=0.241219; network__mean_domain_entropy=0.214259; disk__size_delta=0.156872; memory__n_registry_hklm=0.113397; disk__parent_size=0.112438; disk__path_len=0.0964322; memory__path_len=0.0955377; disk__parent_is_dotnet=0.0890101; memory__n_created_dll=0.0764121,0.5430569430569431,0.5554545454545454,0.8857855393329448
Fused pseudo sensitivity,0,17,17,wannacry,wannacry,True,LIME,network__n_unique_ips=0.181239; network__n_public_ips=0.178542; memory__total_processes=0.093106; memory__n_created_dll=0.0346308; disk__parent_is_i386=0.0289238; network__avg_domain_len=0.0219259; disk__parent_size=0.0165961; memory__n_registry_hklm=0.0154432; disk__parent_is_dotnet=0.0141483; disk__size_delta=0.0137363,0.7462703962703963,0.6765584415584416,0.8448846945653099
Fused pseudo sensitivity,0,17,17,wannacry,wannacry,True,SHAP,network__n_public_ips=0.238817; network__n_unique_ips=0.228434; memory__total_processes=0.142855; memory__n_created_dll=0.0751348; disk__parent_size=0.0580124; disk__size_delta=0.0444286; network__domains_per_conn=0.0254908; memory__n_registry_hklm=0.0249593; disk__parent_is_i386=0.0209477; disk__parent_is_dotnet=0.0158585,0.8818181818181816,0.9580519480519479,0.9966896859730572
Fused pseudo sensitivity,0,17,17,wannacry,wannacry,True,SRC,disk__parent_size=0.0595704; memory__n_created_dll=0.00923106; disk__size_delta=0.00916053; network__domains_per_conn=0.00813399; network__mean_domain_entropy=0.00796264; disk__parent_is_i386=0.00717857; network__avg_domain_len=0.00629473; disk__parent_is_dotnet=0.00526061; memory__total_processes=0.00465224; network__n_public_service_domains=0.00287556,0.5558608058608059,0.5382467532467533,0.7658569158900517
